id,word,definition_gloss,frequency_rank,frequency_in_gnt,percent_of_gnt
54,γίνομαι ,"to become, be, happen",25,669,0.5
55,γινώσκω ,"to come to know, learn, know, realize",70,222,0.2
56,"γλῶσσα, -ης, ἡ ","tongue, language",307,50,0.04
57,"γραμματεύς, -έως, ὁ ",scribe (Jewish legal expert),257,63,0.05
58,"γραφή, -ῆς, ἡ ","Scripture, writing",308,50,0.04
59,γράφω ,to write,84,191,0.14
60,"γυνή, -αικός, ἡ ","woman, wife",74,215,0.2
61,"δαιμόνιον, -ου, τό ",demon,254,63,0.05
62,"Δαυίδ, ὁ ",David,276,59,0.04
63,δέ ,"but, and, now",5,2792,2
64,δεῖ ,it is necessary,167,101,0.07
65,"δεξιός, -ά, -όν ",right (in contrast to left),294,54,0.04
66,δέχομαι,"to receive, accept, take",284,56,0.04
67,διά,"(Gen) through; (Acc) because of, on account of",26,667,0.5
68,"διδάσκαλος, -ου, ὁ ",teacher,277,59,0.04
69,διδάσκω ,to teach,177,97,0.07
70,δίδωμι ,to give,44,415,0.3
71,"δίκαιος, -α, -ον ","right, righteous, just",213,79,0.06
72,"δικαιοσύνη, -ης, ἡ ","righteousness, justice",187,92,0.07
73,διό ,therefore,298,53,0.04
74,δοκέω ,"to think, suppose, seem",259,62,0.04
75,"δόξα, -ης, ἡ ",glory,95,166,0.12
76,δοξάζω ,to glorify,264,61,0.04
77,"δοῦλος, -η, -ον ",slave,133,126,0.09
78,δύναμαι ,"to be able to, to be powerful, can",76,210,0.2
79,"δύναμις, -εως, ἡ ","power, miracle; ability",140,119,0.09
80,δύο ,two,125,135,0.10
81,δώδεκα ,twelve,226,75,0.05
82,ἐάν ,if,52,333,0.2
83,"ἑαυτοῦ, -ῆς, -οῦ ",(reflexive pronoun) my-/your-/oneself,55,319,0.2
84,ἐγείρω ,to raise (up),114,144,0.11
85,ἐγώ ,(1st person pronoun) I,7,2584,1.9
86,"ἔθνος, -ους, τό ","nation, people; (pl) Gentiles",98,162,0.12
87,εἰ ,if,37,502,0.4
88,εἰμί ,to be,8,2462,1.8
89,"εἰρήνη, -ης, ἡ ",peace,188,92,0.07
90,εἰς,"(Acc) into, to",10,1767,1.3
91,"εἷς, μία, ἕν",one; single,49,345,0.2
92,εἰσέρχομαι,"to come / go in, enter",81,194,0.14
93,εἴτε,"if, whether",253,65,0.05
94,"ἐκ, ἐξ","(Gen) from, out of",20,914,0.7
95,"ἕκαστος, -η, -ον ",each,206,82,0.06
96,ἐκβάλλω ,to throw / cast out,208,81,0.06
97,ἐκεῖ ,there,179,95,0.07
98,"ἐκεῖνος, -η, -ο ",that,62,243,0.2
99,"ἐκκλησία, -ας, ἡ ","church, assembly, gathering",147,114,0.08
100,"ἐλπίς, -ίδος, ἡ ",hope,299,53,0.04
101,"ἐμός, -ή, -όν ","(possessive adjective) my, mine",231,74,0.05
102,ἐν ,(Dat) in,6,2752,2
103,"ἐντολή, -ῆς, ἡ ",command(ment),245,67,0.05
104,ἐνώπιον ,"(Gen) before, in the presence of",182,94,0.07
105,ἐξέρχομαι ,to come / go out,72,218,0.2
106,"ἐξουσία, -ας, ἡ ","authority, right",164,102,0.07
107,ἔξω ,"(Gen) (with)out, outside",255,63,0.05
108,"ἐπαγγελία, -ας, ἡ ",promise,302,52,0.04
109,ἐπερωτάω ,"to ask (for), question, demand of x",285,56,0.04
110,ἐπί ,"(Gen) on, upon; (Dat) on, near; (Acc) on, against",21,890,0.6
111,ἑπτά ,seven,195,88,0.06
112,"ἔργον, -ου, τό ","work, deed",93,169,0.12
113,ἔρχομαι ,"to come, go",30,632,0.5
114,ἐρωτάω ,"to ask, request, entreat",256,63,0.05
115,ἐσθίω ,to eat,101,157,0.14
116,"ἔσχατος, -η, -ον ",last,301,52,0.04
117,"ἕτερος, -α, -ον ","other, another, different",173,98,0.07
118,ἔτι ,"yet, still, even",184,93,0.07
119,εὐαγγελίζω ,to bring / preach good news,295,54,0.04
120,"εὐαγγέλιον, -ου, -ν ","good news, Gospel",222,76,0.06
121,"εὐθύς, -εῖα, -ύ ",immediately,278,59,0.04
122,εὑρίσκω,"to find, discover",89,176,0.13
123,ἔχω,"to have, hold",23,708,0.5
124,ἕως,until; (Gen) as far as,113,146,0.11
125,ζάω,to live,123,140,0.10
126,ζητέω,to seek,144,117,0.09
127,"ζωή, -ῆς, ἡ ",life,127,135,0.10
128,ἤ ,or; than,51,343,0.2
129,ἤδη ,"already, now",266,61,0.04
130,"ἡμέρα, -ας, ἡ ",day,46,389,0.3
131,"θάλασσα, -ης, ἡ ",sea; lake,190,91,0.07
132,"θάνατος, -ου, ὁ ",death,139,120,0.09
133,"θέλημα, -τος, τό ","wish, will",261,62,0.04
134,θέλω ,"to want to, wish to, desire",78,208,0.2
135,"θεός, -οῦ, ὁ ","God, a god",14,1317,1.0
136,θεωρέω,"to look at, watch, observe",282,58,0.04
137,"θρόνος, -ου, ὁ ",throne,262,62,0.04
