Table 1
Row Labels,Count of #,,,,,,,,,,,,,,,,,,,,,,,
6001001-6002000,1,,,,,,,,,,,,,,,,,,,,,,,
6002001-6003000,4,,,,,,,,,,,,,,,,,,,,,,,
6003001-6004000,2,,,,,,,,,,,,,,,,,,,,,,,
6004001-6005000,1,,,,,,,,,,,,,,,,,,,,,,,
6005001-6006000,1,,,,,,,,,,,,,,,,,,,,,,,
6006001-6007000,1,,,,,,,,,,,,,,,,,,,,,,,
6007001-6008000,7,,,,,,,,,,,,,,,,,,,,,,,
6008001-6009000,4,,,,,,,,,,,,,,,,,,,,,,,
6009001-6010000,10,,,,,,,,,,,,,,,,,,,,,,,
6010001-6011000,17,,,,,,,,,,,,,,,,,,,,,,,
6011001-6012000,17,,,,,,,,,,,,,,,,,,,,,,,
6012001-6013000,11,,,,,,,,,,,,,,,,,,,,,,,
6013001-6014000,20,,,,,,,,,,,,,,,,,,,,,,,
6014001-6015000,1,,,,,,,,,,,,,,,,,,,,,,,
6015001-6016000,111,,,,,,,,,,,,,,,,,,,,,,,
6016001-6017000,9,,,,,,,,,,,,,,,,,,,,,,,
6017001-6018000,5,,,,,,,,,,,,,,,,,,,,,,,
6018001-6019000,15,,,,,,,,,,,,,,,,,,,,,,,
6019001-6020000,80,,,,,,,,,,,,,,,,,,,,,,,
6020001-6021000,2,,,,,,,,,,,,,,,,,,,,,,,
6021001-6022000,10,,,,,,,,,,,,,,,,,,,,,,,
6022001-6023000,3,,,,,,,,,,,,,,,,,,,,,,,
6023001-6024000,1,,,,,,,,,,,,,,,,,,,,,,,
6024001-6025000,4,,,,,,,,,,,,,,,,,,,,,,,
7001001-7002000,10,,,,,,,,,,,,,,,,,,,,,,,
7002001-7003000,5,,,,,,,,,,,,,,,,,,,,,,,
7003001-7004000,20,,,,,,,,,,,,,,,,,,,,,,,
7004001-7005000,13,,,,,,,,,,,,,,,,,,,,,,,
7005001-7006000,37,,,,,,,,,,,,,,,,,,,,,,,
7006001-7007000,14,,,,,,,,,,,,,,,,,,,,,,,
7007001-7008000,15,,,,,,,,,,,,,,,,,,,,,,,
7008001-7009000,12,,,,,,,,,,,,,,,,,,,,,,,
7009001-7010000,17,,,,,,,,,,,,,,,,,,,,,,,
7010001-7011000,1,,,,,,,,,,,,,,,,,,,,,,,
7011001-7012000,5,,,,,,,,,,,,,,,,,,,,,,,
7012001-7013000,6,,,,,,,,,,,,,,,,,,,,,,,
7013001-7014000,5,,,,,,,,,,,,,,,,,,,,,,,
7014001-7015000,8,,,,,,,,,,,,,,,,,,,,,,,
7015001-7016000,11,,,,,,,,,,,,,,,,,,,,,,,
7016001-7017000,11,,,,,,,,,,,,,,,,,,,,,,,
7017001-7018000,3,,,,,,,,,,,,,,,,,,,,,,,
7018001-7019000,9,,,,,,,,,,,,,,,,,,,,,,,
7019001-7020000,5,,,,,,,,,,,,,,,,,,,,,,,
7020001-7021000,10,,,,,,,,,,,,,,,,,,,,,,,
7021001-7022000,3,,,,,,,,,,,,,,,,,,,,,,,
8001001-8002000,12,,,,,,,,,,,,,,,,,,,,,,,
8002001-8003000,6,,,,,,,,,,,,,,,,,,,,,,,
8003001-8004000,6,,,,,,,,,,,,,,,,,,,,,,,
8004001-8005000,9,,,,,,,,,,,,,,,,,,,,,,,
